origin,destination,herb_road,herb_rail,wood_road,wood_rail
6019,13,362.927,56.8495,448.702,0.0
6019,14,65.5033,0.0,160.103,0.0
6019,15,134.577,139.03,220.814,139.03
6019,16,141.465,488.182,257.217,534.142
6019,17,65.9387,98.2275,177.282,41.549
6019,18,141.317,165.474,252.661,115.739
6019,19,193.784,0.0,180.516,535.117
6019,20,131.218,175.516,217.455,175.516
6019,21,124.804,488.182,257.705,534.142
6019,22,156.386,175.516,242.624,175.516
6019,23,176.432,488.182,309.333,534.142
6019,24,210.155,175.516,296.393,175.516
6019,25,199.868,757.1,284.375,756.592
6019,26,169.593,175.516,255.83,175.516
6019,27,86.6307,175.516,172.868,175.516
6019,28,143.028,175.516,229.265,175.516
6019,29,183.518,757.1,265.532,756.592
6019,30,189.906,175.516,276.143,175.516
6019,31,120.963,175.516,207.201,175.516
6019,32,116.572,255.943,202.81,255.943
6019,33,265.579,175.516,351.816,175.516
6019,34,163.356,468.523,268.797,412.511
6019,35,403.398,394.514,394.067,831.878
6019,36,342.05,255.943,428.288,255.943
6019,37,155.433,394.514,241.67,394.514
6019,38,102.579,488.182,235.48,534.142
6019,39,75.1658,668.503,172.18,642.498
6019,40,71.0111,468.232,182.355,418.497
6019,41,160.352,165.474,271.696,115.739
6019,42,155.064,0.0,266.217,112.775
6019,43,173.522,0.0,223.785,360.404
6019,44,63.0527,0.0,174.206,112.775
6021,9,223.157,199.094,287.086,143.123
6021,10,204.676,255.943,239.226,255.943
6021,11,231.039,143.123,265.589,143.123
6021,12,440.912,199.094,507.383,143.123
6021,13,496.214,199.094,562.686,143.123
6021,14,210.961,199.094,245.801,255.943
6021,15,273.781,0.0,308.332,0.0
6021,16,288.568,0.0,320.342,0.0
6021,17,210.003,374.878,244.553,374.878
6021,18,285.381,449.068,319.932,449.068
6021,19,227.567,370.754,262.117,370.754
6021,20,252.655,0.0,287.205,0.0
6021,21,244.137,0.0,274.792,0.0
6021,22,197.02,0.0,228.794,0.0
6021,23,243.266,0.0,273.921,0.0
6021,24,147.009,0.0,177.664,0.0
6021,25,345.192,0.0,375.847,0.0
6021,26,156.023,0.0,187.796,0.0
6021,27,197.343,0.0,231.893,0.0
6021,28,163.817,0.0,198.368,0.0
6021,29,278.661,0.0,309.316,0.0
6021,30,91.0506,0.0,122.824,0.0
6021,31,140.071,0.0,174.621,0.0
6021,32,119.872,0.0,154.423,0.0
6021,33,87.3691,0.0,118.024,0.0
6021,34,307.42,752.117,336.068,745.84
6021,35,328.634,0.0,359.289,0.0
6021,36,122.581,0.0,153.236,0.0
6021,37,174.072,0.0,208.622,0.0
6021,38,235.643,0.0,266.298,0.0
6021,39,219.23,478.135,253.78,478.135
6021,40,215.075,751.827,249.626,751.827
6021,41,304.417,449.068,338.967,449.068
6021,42,290.403,196.041,324.953,196.041
6021,43,270.836,196.041,305.386,196.041
6021,44,221.256,364.821,255.806,364.821
