0
"(6001, 'cropres')"
"(6001, 'forestres')"
"(6001, 'scrapwood')"
"(6003, 'cropres')"
"(6003, 'forestres')"
"(6003, 'scrapwood')"
"(6005, 'cropres')"
"(6005, 'forestres')"
"(6005, 'scrapwood')"
"(6007, 'cropres')"
"(6007, 'forestres')"
"(6007, 'scrapwood')"
"(6009, 'cropres')"
"(6009, 'forestres')"
"(6009, 'scrapwood')"
"(6011, 'cropres')"
"(6011, 'forestres')"
"(6011, 'scrapwood')"
"(6013, 'cropres')"
"(6013, 'forestres')"
"(6013, 'scrapwood')"
"(6015, 'cropres')"
"(6015, 'forestres')"
"(6015, 'scrapwood')"
"(6017, 'cropres')"
"(6017, 'forestres')"
"(6017, 'scrapwood')"
"(6019, 'cropres')"
"(6019, 'forestres')"
"(6019, 'scrapwood')"
"(6021, 'cropres')"
"(6021, 'forestres')"
"(6021, 'scrapwood')"
"(6023, 'cropres')"
"(6023, 'forestres')"
"(6023, 'scrapwood')"
"(6025, 'cropres')"
"(6025, 'forestres')"
"(6025, 'scrapwood')"
"(6027, 'cropres')"
"(6027, 'forestres')"
"(6027, 'scrapwood')"
"(6029, 'cropres')"
"(6029, 'forestres')"
"(6029, 'scrapwood')"
"(6031, 'cropres')"
"(6031, 'forestres')"
"(6031, 'scrapwood')"
"(6033, 'cropres')"
"(6033, 'forestres')"
"(6033, 'scrapwood')"
"(6035, 'cropres')"
"(6035, 'forestres')"
"(6035, 'scrapwood')"
"(6037, 'cropres')"
"(6037, 'forestres')"
"(6037, 'scrapwood')"
"(6039, 'cropres')"
"(6039, 'forestres')"
"(6039, 'scrapwood')"
"(6041, 'cropres')"
"(6041, 'forestres')"
"(6041, 'scrapwood')"
"(6043, 'cropres')"
"(6043, 'forestres')"
"(6043, 'scrapwood')"
"(6045, 'cropres')"
"(6045, 'forestres')"
"(6045, 'scrapwood')"
"(6047, 'cropres')"
"(6047, 'forestres')"
"(6047, 'scrapwood')"
"(6049, 'cropres')"
"(6049, 'forestres')"
"(6049, 'scrapwood')"
"(6051, 'cropres')"
"(6051, 'forestres')"
"(6051, 'scrapwood')"
"(6053, 'cropres')"
"(6053, 'forestres')"
"(6053, 'scrapwood')"
"(6055, 'cropres')"
"(6055, 'forestres')"
"(6055, 'scrapwood')"
"(6057, 'cropres')"
"(6057, 'forestres')"
"(6057, 'scrapwood')"
"(6059, 'cropres')"
"(6059, 'forestres')"
"(6059, 'scrapwood')"
"(6061, 'cropres')"
"(6061, 'forestres')"
"(6061, 'scrapwood')"
"(6063, 'cropres')"
"(6063, 'forestres')"
"(6063, 'scrapwood')"
"(6065, 'cropres')"
"(6065, 'forestres')"
"(6065, 'scrapwood')"
"(6067, 'cropres')"
"(6067, 'forestres')"
"(6067, 'scrapwood')"
"(6069, 'cropres')"
"(6069, 'forestres')"
"(6069, 'scrapwood')"
"(6071, 'cropres')"
"(6071, 'forestres')"
"(6071, 'scrapwood')"
"(6073, 'cropres')"
"(6073, 'forestres')"
"(6073, 'scrapwood')"
"(6075, 'cropres')"
"(6075, 'forestres')"
"(6075, 'scrapwood')"
"(6077, 'cropres')"
"(6077, 'forestres')"
"(6077, 'scrapwood')"
"(6079, 'cropres')"
"(6079, 'forestres')"
"(6079, 'scrapwood')"
"(6081, 'cropres')"
"(6081, 'forestres')"
"(6081, 'scrapwood')"
"(6083, 'cropres')"
"(6083, 'forestres')"
"(6083, 'scrapwood')"
"(6085, 'cropres')"
"(6085, 'forestres')"
"(6085, 'scrapwood')"
"(6087, 'cropres')"
"(6087, 'forestres')"
"(6087, 'scrapwood')"
"(6089, 'cropres')"
"(6089, 'forestres')"
"(6089, 'scrapwood')"
"(6091, 'cropres')"
"(6091, 'forestres')"
"(6091, 'scrapwood')"
"(6093, 'cropres')"
"(6093, 'forestres')"
"(6093, 'scrapwood')"
"(6095, 'cropres')"
"(6095, 'forestres')"
"(6095, 'scrapwood')"
"(6097, 'cropres')"
"(6097, 'forestres')"
"(6097, 'scrapwood')"
"(6099, 'cropres')"
"(6099, 'forestres')"
"(6099, 'scrapwood')"
"(6101, 'cropres')"
"(6101, 'forestres')"
"(6101, 'scrapwood')"
"(6103, 'cropres')"
"(6103, 'forestres')"
"(6103, 'scrapwood')"
"(6105, 'cropres')"
"(6105, 'forestres')"
"(6105, 'scrapwood')"
"(6107, 'cropres')"
"(6107, 'forestres')"
"(6107, 'scrapwood')"
"(6109, 'cropres')"
"(6109, 'forestres')"
"(6109, 'scrapwood')"
"(6111, 'cropres')"
"(6111, 'forestres')"
"(6111, 'scrapwood')"
"(6113, 'cropres')"
"(6113, 'forestres')"
"(6113, 'scrapwood')"
"(6115, 'cropres')"
"(6115, 'forestres')"
"(6115, 'scrapwood')"
