origin,destination,herb_road,herb_rail,wood_road,wood_rail
6007,66,174.248,368.641,208.224,368.641
6007,67,174.248,655.63,208.224,655.63
6007,68,174.248,661.635,208.224,661.635
6007,69,174.248,368.641,208.224,368.641
6007,70,169.888,8.86628,209.765,8.86628
6007,71,169.888,14.0081,209.765,14.0081
6007,72,174.248,669.737,208.224,669.737
6007,73,169.888,0.0,209.765,0.0
6007,74,174.248,670.228,208.224,670.228
6007,75,174.248,673.025,208.224,673.025
6009,1,226.396,671.69,220.493,665.413
6009,2,247.515,677.068,247.515,677.068
6009,3,85.7789,219.741,85.7789,219.741
6009,4,145.107,110.074,162.06,67.9239
6009,5,82.6418,0.0,82.6418,0.0
6009,6,112.292,368.641,112.292,368.641
6009,7,130.987,324.178,177.65,370.138
6009,8,239.678,0.0,239.678,0.0
6009,46,77.9947,284.394,77.9947,284.394
6009,47,77.9947,252.902,77.9947,252.902
6009,48,77.9947,294.451,77.9947,294.451
6009,49,77.9947,902.23,77.9947,902.23
6009,50,77.9947,896.645,77.9947,896.645
6009,51,77.9947,175.516,77.9947,175.516
6009,52,77.9947,0.0,77.9947,0.0
6009,53,77.9947,671.69,77.9947,671.69
6009,54,77.9947,219.741,77.9947,219.741
6009,55,77.9947,394.453,77.9947,394.453
6009,56,77.9947,62.6963,77.9947,62.6963
6009,57,77.9947,218.998,77.9947,218.998
6009,58,77.9947,368.641,77.9947,368.641
6009,59,77.9947,668.403,77.9947,668.403
6009,60,77.9947,671.4,77.9947,671.4
6009,61,77.9947,107.752,77.9947,107.752
6009,62,77.9947,87.5869,77.9947,87.5869
6009,63,77.9947,669.478,77.9947,669.478
6009,64,77.9947,671.189,77.9947,671.189
6009,65,77.9947,501.835,77.9947,501.835
6009,66,77.9947,368.641,77.9947,368.641
6009,67,77.9947,655.63,77.9947,655.63
6009,68,77.9947,661.635,77.9947,661.635
6009,69,77.9947,368.641,77.9947,368.641
6009,70,77.9947,71.5606,77.9947,71.5606
6009,71,77.9947,67.9239,77.9947,67.9239
6009,72,77.9947,669.737,77.9947,669.737
6009,73,77.9947,80.4269,77.9947,80.4269
6009,74,77.9947,670.228,77.9947,670.228
6009,75,77.9947,673.025,77.9947,673.025
6011,1,301.556,752.117,279.412,884.411
6011,2,322.676,757.495,306.434,896.066
6011,3,160.939,196.041,171.019,190.934
6011,4,220.268,55.7112,220.979,152.579
6011,5,165.772,80.4269,149.53,218.998
6011,6,187.453,449.068,171.211,587.639
6011,7,206.147,338.122,236.569,481.691
6011,8,85.4293,0.0,177.844,0.0
6011,46,153.155,364.821,136.913,503.392
6011,47,153.155,333.329,136.913,471.9
6011,48,153.155,374.878,136.913,513.449
6011,49,153.155,982.657,136.913,1121.23
6011,50,153.155,977.072,136.913,1115.64
6011,51,153.155,255.943,136.913,394.514
6011,52,153.155,80.4269,136.913,218.998
6011,53,153.155,752.117,136.913,890.688
6011,54,153.155,196.041,163.234,190.934
6011,55,153.155,370.754,163.234,365.646
6011,56,153.155,143.123,136.913,281.694
6011,57,153.155,144.839,136.913,0.0
6011,58,153.155,449.068,136.913,587.639
6011,59,153.155,748.83,136.913,887.401
6011,60,153.155,751.827,136.913,890.398
6011,61,153.155,43.9171,163.234,20.8578
6011,62,153.155,23.0594,163.234,0.0
6011,63,153.155,749.905,136.913,888.476
6011,64,153.155,751.616,136.913,890.187
6011,65,153.155,478.135,163.234,473.028
6011,66,153.155,449.068,136.913,587.639
6011,67,153.155,736.057,136.913,874.628
6011,68,153.155,742.062,136.913,880.633
6011,69,153.155,449.068,136.913,587.639
6011,70,153.155,8.86628,136.913,147.437
6011,71,153.155,14.0081,136.913,152.579
6011,72,153.155,750.164,136.913,888.735
6011,73,153.155,0.0,136.913,144.839
6011,74,153.155,750.655,136.913,889.226
6011,75,153.155,753.452,136.913,892.023
6013,1,177.498,671.69,161.234,733.337
6013,2,198.618,677.068,188.257,744.992
6013,3,36.8815,219.741,26.5203,182.48
6013,4,88.1223,0.0,88.8984,0.0
6013,5,41.714,0.0,31.3528,67.9239
6013,6,63.395,368.641,53.0338,436.565
6013,7,82.0892,324.178,118.392,391.822
6013,8,236.864,0.0,230.397,14.0081
6013,46,29.0972,284.394,18.7361,352.318
6013,47,29.0972,252.902,18.7361,320.826
6013,48,29.0972,294.451,18.7361,362.375
6013,49,29.0972,902.23,18.7361,970.154
6013,50,29.0972,896.645,18.7361,964.569
6013,51,29.0972,175.516,18.7361,243.44
6013,52,29.0972,0.0,18.7361,67.9239
6013,53,29.0972,671.69,18.7361,739.614
6013,54,29.0972,219.741,18.7361,182.48
6013,55,29.0972,394.453,18.7361,357.193
6013,56,29.0972,62.6963,18.7361,130.62
6013,57,29.0972,218.998,18.7361,152.579
6013,58,29.0972,368.641,18.7361,436.565
6013,59,29.0972,668.403,18.7361,736.327
6013,60,29.0972,671.4,18.7361,739.324
6013,61,29.0972,107.752,18.7361,39.8276
6013,62,29.0972,87.5869,18.7361,21.1681
6013,63,29.0972,669.478,18.7361,737.402
6013,64,29.0972,671.189,18.7361,739.113
6013,65,29.0972,501.835,18.7361,464.574
6013,66,29.0972,368.641,18.7361,436.565
6013,67,29.0972,655.63,18.7361,723.554
6013,68,29.0972,661.635,18.7361,729.559
6013,69,29.0972,368.641,18.7361,436.565
6013,70,29.0972,71.5606,18.7361,5.14179
6013,71,29.0972,67.9239,18.7361,0.0
6013,72,29.0972,669.737,18.7361,737.661
6013,73,29.0972,80.4269,18.7361,14.0081
6013,74,29.0972,670.228,18.7361,738.152
6013,75,29.0972,673.025,18.7361,740.949
6015,1,412.26,1253.5,308.731,1322.0
6015,2,433.379,1258.88,335.754,1333.66
6015,3,271.643,770.82,174.017,845.598
6015,4,330.971,630.491,250.298,663.565
6015,5,276.475,593.097,178.85,667.874
6015,6,298.156,950.455,200.531,1025.23
6015,7,316.85,454.927,265.889,740.581
6015,8,478.943,0.0,412.775,0.0
6015,46,263.858,866.208,166.233,940.985
6015,47,263.858,834.716,166.233,909.493
6015,48,263.858,876.265,166.233,951.042
6015,49,263.858,1484.04,166.233,1558.82
6015,50,263.858,1478.46,166.233,1553.24
6015,51,263.858,757.1,166.233,831.878
6015,52,263.858,593.097,166.233,667.874
6015,53,263.858,1253.5,166.233,1328.28
6015,54,263.858,770.82,166.233,845.598
6015,55,263.858,945.533,166.233,1020.31
6015,56,263.858,644.51,166.233,719.287
6015,57,263.858,678.656,166.233,753.434
6015,58,263.858,950.455,166.233,1025.23
6015,59,263.858,1250.22,166.233,1324.99
6015,60,263.858,1253.21,166.233,1327.99
6015,61,263.858,618.697,166.233,693.474
6015,62,263.858,597.839,166.233,672.616
6015,63,263.858,1251.29,166.233,1326.07
6015,64,263.858,1253.0,166.233,1327.78
6015,65,263.858,1052.91,166.233,1127.69
6015,66,263.858,950.455,166.233,1025.23
6015,67,263.858,1237.44,166.233,1312.22
6015,68,263.858,1243.45,166.233,1318.23
6015,69,263.858,950.455,166.233,1025.23
6015,70,263.858,583.646,166.233,658.423
6015,71,263.858,588.787,166.233,663.565
6015,72,263.858,1251.55,166.233,1326.33
6015,73,263.858,581.047,166.233,655.825
6015,74,263.858,1252.04,166.233,1326.82
6015,75,263.858,1254.84,166.233,1329.62
6017,1,287.493,671.69,301.311,665.413
