origin,destination,km,km_road,km_rail,km_pipe
2,65,182.957,0.0188305,0.0,176.592
2,66,915.665,0.0188305,286.989,590.267
2,67,185.803,0.0188305,0.0,182.156
2,68,959.056,0.0188305,286.989,627.784
2,69,504.025,0.0188305,286.989,171.346
2,70,207.393,0.0188305,0.0,201.256
2,71,191.674,0.0188305,0.0,187.387
2,72,191.88,0.0188305,0.0,186.209
2,73,188.818,0.0188305,0.0,182.882
2,74,1017.99,30.8237,286.989,661.072
2,75,1003.46,3.51069,286.989,675.335
2,76,911.413,2.00038,286.989,580.731
2,77,942.364,0.0819744,286.989,618.121
2,78,1431.08,319.463,286.989,787.097
2,79,6.19138,6.02711,0.0,0.0
2,80,961.805,18.8274,286.989,618.121
2,81,995.34,7.17936,286.989,658.725
2,82,193.504,1.30703,0.0,186.209
2,83,193.021,0.0188305,0.0,188.067
2,84,313.858,75.4923,0.0,208.276
2,85,923.266,8.25196,286.989,589.75
3,1,661.348,7.78423,623.634,13.1462
3,2,267.653,7.78423,182.48,65.9657
3,3,722.827,7.78423,623.634,75.6846
3,4,638.036,8.55051,623.634,0.0
3,5,818.508,7.78423,623.634,171.346
3,6,657.035,7.78423,623.634,5.8074
3,7,662.164,7.78423,623.634,11.6946
3,8,650.481,7.78423,623.634,3.22085
3,9,662.164,7.78423,623.634,11.6946
3,10,669.337,7.78423,623.634,21.4268
3,11,689.968,7.78423,623.634,30.6073
3,12,818.639,7.78423,623.634,171.391
3,13,712.283,7.78423,623.634,36.9302
3,14,684.225,7.78423,623.634,25.0723
3,15,665.58,7.78423,623.634,6.50326
3,16,276.735,7.78423,182.48,70.8845
3,17,276.413,7.78423,182.48,75.116
3,18,287.323,7.78423,182.48,89.8809
3,19,198.782,7.78423,182.48,0.843366
3,20,751.787,323.722,182.48,237.171
3,21,195.603,7.78423,179.204,0.17997
3,22,197.04,7.78423,179.204,1.70396
3,23,712.11,7.78423,623.634,65.6235
3,24,271.501,7.78423,182.48,69.8577
3,25,287.409,7.78423,182.48,89.2391
3,26,196.349,7.78423,179.204,1.20309
3,27,658.915,7.78423,623.634,11.4201
3,28,637.389,7.78423,182.48,414.61
3,29,676.357,7.78423,623.634,29.9786
3,30,722.634,7.78423,623.634,76.0405
3,31,287.164,7.78423,182.48,89.6571
3,32,197.024,7.78423,179.204,1.70396
3,33,664.697,7.78423,623.634,16.7347
3,34,286.255,79.4939,192.402,0.0
3,35,620.155,7.78423,182.48,414.61
3,36,330.33,7.78423,182.48,129.659
3,37,689.822,7.78423,623.634,36.9302
3,38,684.729,7.78423,623.634,27.3486
3,39,196.972,7.78423,179.204,1.26735
3,40,254.774,7.78423,179.204,54.4508
3,41,434.628,7.78423,182.48,237.171
3,42,461.501,7.78423,182.48,264.1
3,43,808.556,7.78423,623.634,160.765
3,44,679.47,7.78423,623.634,28.6099
3,45,274.374,7.78423,182.48,75.116
3,46,338.366,7.78423,182.48,134.381
3,47,974.614,7.78423,623.634,320.509
3,48,722.761,7.78423,623.634,75.6864
3,49,848.061,7.78423,623.634,199.802
3,50,658.882,7.78423,623.634,11.8681
3,51,662.699,7.78423,623.634,12.1653
3,52,267.807,7.78423,182.48,66.0239
3,53,215.877,7.78423,182.48,12.3861
3,54,213.727,7.78423,179.204,17.3857
3,55,666.529,7.78423,623.634,16.7214
3,56,666.163,7.78423,623.634,16.7347
3,57,197.355,7.78423,179.204,1.70396
3,58,201.994,7.78423,182.48,4.48625
3,59,287.559,7.78423,182.48,89.3788
3,60,274.013,7.78423,182.48,75.116
3,61,271.254,7.78423,182.48,69.9585
3,62,661.372,7.78423,623.634,13.2039
3,63,727.193,7.78423,623.634,76.2464
3,64,716.177,7.78423,623.634,36.9302
3,65,656.923,7.78423,623.634,5.24632
3,66,203.381,7.78423,182.48,4.3114
3,67,659.769,7.78423,623.634,10.8105
3,68,318.021,7.78423,182.48,113.077
3,69,620.961,7.78423,182.48,414.61
3,70,681.359,7.78423,623.634,29.9103
3,71,665.64,7.78423,623.634,16.0417
3,72,665.846,7.78423,623.634,14.8631
3,73,662.784,7.78423,623.634,11.5363
3,74,286.862,39.4904,179.204,54.4508
3,75,291.177,11.2761,182.48,89.3788
3,76,270.379,9.76578,182.48,66.0239
3,77,197.198,7.84737,179.204,1.70396
3,78,754.827,327.229,182.48,237.171
3,79,824.62,13.7304,623.634,171.391
3,80,216.639,26.5928,179.204,1.70396
3,81,262.316,14.9448,179.204,54.4508
3,82,667.471,9.07243,623.634,14.8631
3,83,666.988,7.78423,623.634,16.7214
3,84,787.824,83.2577,623.634,36.9302
3,85,210.982,16.0174,182.48,3.79443
4,1,835.386,3.80877,286.989,502.872
4,2,153.473,3.80877,0.0,141.082
4,3,896.865,3.80877,286.989,565.411
4,4,812.074,4.57505,286.989,489.726
4,5,992.546,3.80877,286.989,661.072
4,6,831.073,3.80877,286.989,495.534
4,7,836.202,3.80877,286.989,501.421
4,8,824.519,3.80877,286.989,492.947
4,9,836.202,3.80877,286.989,501.421
4,10,843.375,3.80877,286.989,511.153
4,11,864.006,3.80877,286.989,520.334
4,12,992.677,3.80877,286.989,661.117
4,13,886.321,3.80877,286.989,526.656
4,14,858.263,3.80877,286.989,514.799
4,15,839.618,3.80877,286.989,496.23
4,16,162.555,3.80877,0.0,146.0
4,17,4.06802,3.80877,0.0,0.0
4,18,167.576,3.80877,0.0,159.43
4,19,84.6018,3.80877,0.0,75.9593
4,20,632.04,319.746,0.0,306.72
4,21,108.738,3.80877,0.0,100.19
4,22,110.175,3.80877,0.0,101.714
4,23,886.148,3.80877,286.989,555.35
4,24,157.321,3.80877,0.0,144.974
4,25,167.662,3.80877,0.0,158.788
4,26,109.484,3.80877,0.0,101.213
4,27,832.953,3.80877,286.989,501.146
4,28,523.209,3.80877,0.0,489.726
4,29,850.396,3.80877,286.989,519.705
4,30,896.672,3.80877,286.989,565.767
4,31,167.417,3.80877,0.0,159.206
4,32,110.159,3.80877,0.0,101.714
4,33,838.735,3.80877,286.989,506.461
4,34,616.951,92.549,0.0,489.726
4,35,505.975,3.80877,0.0,489.726
4,36,210.583,3.80877,0.0,199.208
4,37,863.86,3.80877,286.989,526.656
4,38,858.767,3.80877,286.989,517.075
4,39,110.107,3.80877,0.0,101.277
4,40,155.766,3.80877,0.0,142.318
4,41,314.88,3.80877,0.0,306.72
4,42,347.321,3.80877,0.0,339.216
4,43,982.594,3.80877,286.989,650.491
4,44,853.508,3.80877,286.989,518.336
4,45,9.96227,3.80877,0.0,0.0
4,46,224.186,3.80877,0.0,209.497
4,47,1148.65,3.80877,286.989,810.235
4,48,896.799,3.80877,286.989,565.413
4,49,1022.1,3.80877,286.989,689.528
4,50,832.92,3.80877,286.989,501.594
4,51,836.737,3.80877,286.989,501.892
4,52,153.627,3.80877,0.0,141.14
4,53,101.697,3.80877,0.0,87.502
4,54,109.694,3.80877,0.0,100.228
4,55,840.567,3.80877,286.989,506.448
4,56,840.201,3.80877,286.989,506.461
4,57,110.49,3.80877,0.0,101.714
4,58,82.2467,3.80877,0.0,74.0351
4,59,167.812,3.80877,0.0,158.928
4,60,9.6011,3.80877,0.0,0.0
4,61,157.074,3.80877,0.0,145.074
4,62,835.41,3.80877,286.989,502.93
4,63,901.231,3.80877,286.989,565.973
4,64,890.215,3.80877,286.989,526.656
4,65,830.961,3.80877,286.989,494.973
4,66,83.6337,3.80877,0.0,73.8602
4,67,833.807,3.80877,286.989,500.537
4,68,203.841,3.80877,0.0,188.193
4,69,506.781,3.80877,0.0,489.726
4,70,855.398,3.80877,286.989,519.637
4,71,839.678,3.80877,286.989,505.768
4,72,839.884,3.80877,286.989,504.589
4,73,836.822,3.80877,286.989,501.263
4,74,33.0569,32.8916,0.0,0.0
4,75,171.43,7.30063,0.0,158.928
4,76,156.199,5.79032,0.0,141.14
4,77,110.333,3.87191,0.0,101.714
4,78,635.08,323.253,0.0,306.72
4,79,998.658,9.75497,286.989,661.117
4,80,129.774,22.6174,0.0,101.714
4,81,163.309,10.9693,0.0,142.318
4,82,841.509,5.09697,286.989,504.589
4,83,841.026,3.80877,286.989,506.448
4,84,961.862,79.2822,286.989,526.656
4,85,91.2351,12.0419,0.0,73.3433
5,1,767.252,9.8301,286.989,426.365
5,2,24.6573,9.8301,0.0,3.89205
5,3,828.732,9.8301,286.989,488.903
5,4,743.94,10.5964,286.989,413.219
5,5,924.412,9.8301,286.989,584.564
5,6,762.939,9.8301,286.989,419.026
5,7,768.068,9.8301,286.989,424.913
5,8,756.385,9.8301,286.989,416.44
5,9,768.068,9.8301,286.989,424.913
5,10,775.242,9.8301,286.989,434.646
5,11,795.872,9.8301,286.989,443.826
5,12,924.544,9.8301,286.989,584.61
5,13,818.187,9.8301,286.989,450.149
5,14,790.129,9.8301,286.989,438.291
5,15,771.484,9.8301,286.989,419.722
5,16,94.4214,9.8301,0.0,69.493
5,17,165.348,9.8301,0.0,144.974
5,18,137.832,9.8301,0.0,121.312
5,19,86.0303,9.8301,0.0,69.0144
5,20,536.226,325.768,0.0,202.533
5,21,117.42,9.8301,0.0,100.499
5,22,118.858,9.8301,0.0,102.023
5,23,818.014,9.8301,286.989,478.842
5,24,12.0954,9.8301,0.0,0.0
5,25,139.202,9.8301,0.0,121.954
5,26,118.166,9.8301,0.0,101.522
5,27,764.819,9.8301,286.989,424.639
5,28,455.075,9.8301,0.0,413.219
5,29,782.262,9.8301,286.989,443.197
5,30,828.538,9.8301,286.989,489.259
5,31,138.121,9.8301,0.0,121.536
5,32,118.842,9.8301,0.0,102.023
5,33,770.601,9.8301,286.989,429.953
5,34,548.817,98.5703,0.0,413.219
5,35,437.841,9.8301,0.0,413.219
5,36,114.769,9.8301,0.0,95.0207
5,37,795.726,9.8301,286.989,450.149
5,38,790.633,9.8301,286.989,440.567
